               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10166,            0.024738,            0.031097,             0.52549,             0.10342,             0.13433,            0.043009,            0.080977,            0.021836,            0.020159,            0.070448,           0.0032836,           0.0032836
                   1,             0.07367,            0.023554,            0.019029,             0.17868,             0.53498,             0.20433,            0.062157,            0.067895,            0.015922,             0.01711,            0.039793,           0.0059618,           0.0059618
                   2,            0.066882,            0.019198,            0.017774,             0.15865,             0.45763,             0.21739,            0.064656,            0.072364,            0.013006,            0.016127,           0.0084776,           0.0079801,           0.0079801
                   3,             0.05897,            0.017285,            0.015486,             0.40613,              0.6691,             0.57183,             0.23733,            0.054793,            0.012345,             0.01185,             0.00703,             0.00703,             0.00703
                   4,            0.052859,            0.015527,            0.012037,             0.68779,             0.69327,             0.72668,             0.32918,            0.047261,            0.011384,           0.0071785,             0.00703,             0.00703,             0.00703
                   5,            0.048048,             0.01504,           0.0087222,             0.78894,             0.76528,             0.79945,             0.32392,            0.042049,            0.011111,           0.0066528,             0.00604,             0.00604,             0.00604
                   6,            0.043333,            0.014476,           0.0071471,             0.65077,             0.76688,             0.68941,             0.33797,            0.039972,            0.010998,            0.006255,             0.00505,             0.00505,             0.00505
                   7,            0.040765,            0.014102,           0.0060977,             0.80814,             0.80033,             0.81678,              0.4347,            0.036557,            0.010745,           0.0053883,             0.00406,             0.00406,             0.00406
                   8,            0.038027,            0.014044,           0.0058198,             0.80908,             0.78657,             0.81503,             0.43995,            0.036772,            0.010485,           0.0060608,             0.00307,             0.00307,             0.00307
                   9,            0.034531,            0.013292,           0.0051726,             0.83045,              0.8293,             0.84653,             0.47368,            0.033003,            0.010217,           0.0049852,             0.00208,             0.00208,             0.00208
